#长期数据集，每小时统计一次，并且：,,
,,
# max_sum_non_zero：48小时内（过去48小时）涨幅前10的新币的累计涨幅之和。,,
# min_sum_non_zero：48小时内（过去48小时）跌幅前10的新币的累计跌幅之和,,
,max_sum_non_zero,min_sum_non_zero
fudu_483,42.61%,-217.32%
fudu_484,29.76%,-257.05%
fudu_485,24.65%,-267.19%
fudu_486,17.38%,-260.22%
fudu_487,29.24%,-230.37%
fudu_488,24.41%,-221.06%
fudu_489,26.31%,-208.87%
fudu_490,18.20%,-227.84%
fudu_491,30.39%,-202.46%
fudu_492,32.90%,-204.59%
fudu_493,41.49%,-180.95%
fudu_494,37.45%,-211.04%
fudu_495,56.08%,-205.20%
fudu_496,49.82%,-220.52%
fudu_497,44.62%,-208.51%
fudu_498,37.69%,-195.87%
fudu_499,60.36%,-194.03%
fudu_500,69.96%,-207.86%
fudu_501,80.82%,-171.87%
fudu_502,64.72%,-187.80%
fudu_503,42.12%,-225.49%
fudu_504,29.10%,-208.30%
fudu_505,37.13%,-207.19%
fudu_506,26.84%,-241.72%
fudu_507,42.76%,-194.63%
fudu_508,56.93%,-165.21%
fudu_509,45.55%,-202.58%
fudu_510,57.65%,-179.27%
fudu_511,40.88%,-213.12%
fudu_512,44.08%,-193.42%
fudu_513,46.82%,-148.74%
fudu_514,60.00%,-105.75%
fudu_515,59.41%,-87.36%
fudu_516,51.70%,-112.93%
fudu_517,39.69%,-133.66%
fudu_518,31.21%,-177.10%
fudu_519,27.95%,-174.16%
fudu_520,25.97%,-178.43%
fudu_521,15.71%,-193.11%
fudu_522,12.03%,-182.19%
fudu_523,152.49%,-205.86%
fudu_524,123.28%,-222.37%
fudu_525,129.19%,-196.80%
fudu_526,109.62%,-217.46%
fudu_527,127.00%,-215.42%
fudu_528,144.51%,-177.49%
fudu_529,165.18%,-181.91%
fudu_530,170.79%,-181.22%
fudu_531,180.28%,-159.27%
fudu_532,187.84%,-138.75%
fudu_533,215.46%,-124.45%
fudu_534,177.94%,-134.37%
fudu_535,166.59%,-142.38%
fudu_536,173.17%,-131.51%
fudu_537,166.90%,-136.25%
fudu_538,125.22%,-152.58%
fudu_539,102.36%,-166.90%
fudu_540,62.64%,-190.03%
fudu_541,30.61%,-208.36%
fudu_542,18.26%,-227.21%
fudu_543,28.72%,-235.09%
fudu_544,9.30%,-244.99%
fudu_545,8.20%,-244.86%
fudu_546,30.85%,-250.75%
fudu_547,38.69%,-273.26%
fudu_548,-6.10%,-300.80%
