,max_sum_non_zero,min_sum_non_zero
fudu_533,215.4637,-124.4544
fudu_58,131.0102,-124.6079
fudu_139,109.6345,-124.7085
fudu_226,22.5083,-125.092
fudu_831,24.5781,-125.3025
fudu_205,11.9873,-125.3294
fudu_225,23.1249,-125.4232
fudu_227,18.7359,-125.4749
fudu_804,29.5712,-126.1295
fudu_1446,46.1933,-126.1387
fudu_1033,17.2642,-126.5164
fudu_1323,103.6341,-126.676
fudu_158,72.7218,-126.7267
fudu_1078,40.7019,-127.1383
fudu_1338,52.5534,-127.2488
fudu_995,94.4784,-127.4359
fudu_224,27.3198,-127.7446
fudu_647,139.3421,-127.8164
fudu_57,135.7995,-128.1483
fudu_1403,52.7278,-128.2136
fudu_799,22.4454,-128.3669
fudu_348,117.4566,-128.3821
fudu_730,108.0407,-128.6415
fudu_1037,22.1908,-129.1812
